Symbol,Name,PE Ratio,Sector PE,PB Ratio,Sector PB,PEG Ratio,EV/EBITDA,ROA %,ROE %,ROCE %,ROE 3Y Avg %,ROCE 3Y Avg %,Net Profit (Cr),Net Profit Prev (Cr),Debt/Equity,Interest Coverage,Net Profit Margin %,EPS Current,EPS Last Year,EPS Growth 3Y %,Sales Growth 1Y %,Sales Growth 3Y %,Profit Growth 1Y %,Profit Growth 3Y %,Free Cash Flow (Cr),Dividend Yield %,Dividend Payout %,Promoter Holding %,Pledge %,FII Change %,DII Change %
360ONE.NS,360 ONE,38.89,19.23,4.97,2.09,1.71,21.12,5.18,14.39,12.12,18.25,13.83,1216.17,1015.3,1.62,2.34,27.2,31.11,29.94,17.45,36.82,29.53,19.48,22.72,-3016.57,1,40.07,6.2,0,-4.78,5.95
3MINDIA.NS,3M India,85.93,19.81,21.38,1.51,9.32,36.24,17.62,29.98,50.01,27.35,42.01,522.32,476.07,0.1,21.25,10.65,512.82,463.66,9.22,15.71,10.88,-11.22,9.22,456.75,0.48,109.18,75,0,-0.02,-0.18
AADHARHFC.NS,Aadhar Hsg. Fin.,17.91,13.45,2.74,1.88,0.71,13.06,4.38,15.94,11.38,16.85,11.39,1095.88,911.83,2.49,2.05,30.1,26.23,25.15,21.21,17.72,21.71,21.54,25.27,-2826.54,0,0,64.66,0,-0.33,0.77
AARTIDRUGS.NS,Aarti Drugs,19.64,32.56,2.44,3.99,3.62,12.95,7.23,13.36,11.9,13.3,13.33,194.94,168.1,0.37,7.72,7.6,20.95,21.36,5.94,10.54,-1.89,2.04,5.43,80.49,0.48,9.36,54.43,2.5,-0.05,0.07
AARTIIND.NS,Aarti Industries,36.13,27.92,3.17,2.82,-4.05,17.32,3.38,7.13,6.85,7.11,6.82,419,330.87,0.83,2.35,4.97,14.64,11.56,-8.91,26.99,7.78,122.25,-8.91,-346,0.19,8.64,41.82,3.49,-0.38,0.99
AARTIPHARM.NS,Aarti Pharma,34.91,32.56,3.54,3.99,-11.83,18.29,5.54,8.59,10.7,11.91,14.92,174.71,272.4,0.36,6.42,9.72,23.51,19.27,-2.96,1.2,-2.2,-19.21,-2.95,-186.38,0.42,18.16,42.86,11.08,-0.22,-0.18
AASTHA.NS,Aastha Spintex,13.17,18.76,0,1.77,0.07,7.81,7.73,16.86,19,20.64,20.97,23.74,23.5,0.67,3.79,5.36,7.5,7.5,168.38,26.05,22.76,1.02,181.88,4.98,0,0,53.21,0,0,0
AAVAS.NS,AAVAS Financiers,15.72,13.45,2.14,1.88,1.04,12.07,3.29,13.92,9.92,13.98,9.97,654.88,574.11,3.11,1.79,24.4,86.7,82.6,14.96,13.32,18.61,16.97,15.07,-1417.85,0,0,48.88,0,-0.46,0.01
ABB.NS,A B B,103.25,33.08,16.97,5.51,3.47,67.96,12.83,22.39,29.93,24.7,33.06,1668.26,1871.64,0.02,126.41,12.65,141,78.73,29.76,10.22,15.51,-13.03,29.76,979.89,0.53,50.01,75,0,-0.52,0.61
ABBOTINDIA.NS,Abbott India,34.38,32.56,11.63,3.99,1.95,23.65,24.91,34.35,44.8,34.94,45.69,1552.02,1414.44,0.04,87.06,22.32,759.87,730.39,17.66,6.29,9.01,11.18,17.66,1306.93,2.01,89.82,74.99,0,0.11,-0.16
ABCAPITAL.NS,Aditya Birla Cap,27.76,25.28,3.11,0.81,-4.19,15.69,1.27,12.04,8.72,12.46,9.3,3863.8,3381.89,5.22,1.46,8.58,15.04,14.75,-9.09,16.33,14.7,18.14,-6.63,-36905.48,0,0,68.81,0,0.93,-0.35
ABDL.NS,Allied Blenders,74.63,47.25,10.02,2.48,0.18,30.97,5.74,14.29,18.38,14.28,18.35,220.12,194.84,0.69,3.53,5.63,7.9,8.16,398.92,7.97,7.63,-7.15,422.08,16.07,0.91,66.15,80.91,0,0.01,0.25
ABFRL.NS,Aditya Bir. Fas.,0,46.36,1.14,3.31,0,12.87,-5.46,-13.63,-3.76,-13.95,-3.67,-829.89,-455.82,1.06,-0.76,-11.28,-6.38,-6.36,0,11.44,-13.01,-10.31,0,-295.18,0,0,46.61,0,-2.66,-0.93
ABLBL.NS,A B Lifestyle,49.44,46.36,7.48,3.31,0,9.17,2.35,14.87,15.02,0,15.02,171.05,59.6,2.14,1.77,2.38,1.44,1.4,0,9.07,0,31.53,0,896.28,0.58,35.68,46.6,0,-0.08,0.56
ABREL.NS,A B Real Estate,0,26.83,4.36,2.45,0,-61.81,-0.6,-2.64,-4.48,-1.25,-0.35,-114.82,-157.44,1.52,-4.8,-27.23,-10.41,-9.24,0,-55.45,-52.63,-249.75,0,660.67,0.17,-27.05,50.21,0,0.22,0.23
ABSLAMC.NS,Aditya AMC,28.55,37.44,7.11,7.09,1.6,21.21,22.91,25.15,32.23,26.42,34.21,975.07,930.6,0.02,270.6,47.52,34.87,33.76,17.78,6.59,15.08,3.86,17.89,765.89,2.56,75.53,74.72,0,-1.34,2.71
ACC.NS,ACC,12.85,32.39,1.19,1.89,0.41,8.04,8.02,10.86,11.25,12.59,15.32,2137.23,2402.27,0.02,17.48,8.18,101.64,113.8,31.47,11.55,5.34,-18.63,31.47,-2392.75,0.58,6.6,56.69,0,-0.1,-0.5
ACE.NS,Action Const.Eq.,31.73,31.73,6.9,5.11,0.83,21.47,13.93,22.9,31.7,26.71,38.04,415.1,409.24,0,32.23,12.65,36.69,34.86,38.27,5.21,14.95,3.34,38.27,330.51,0.17,5.74,65.42,0,-1.76,0.75
ACI.NS,Archean Chemical,63.76,27.92,3.19,2.82,-1.81,26.1,4.02,5.42,7.41,11.04,15.07,105.41,162.15,0.24,6.16,9.39,7.84,8.66,-35.34,-0.43,-9.14,-49.2,-35.27,-242.4,0.5,28.88,53.43,24.49,-0.09,-1.65
ACMESOLAR.NS,ACME Solar Hold.,47.18,22.91,4.76,1.84,0.32,16.31,2.12,10.38,8.89,8.43,8.58,497.89,250.82,3.93,1.66,24.51,9.41,8.23,63.01,47.52,16.04,45.44,149.47,-4070.57,0.05,2.43,71.4,0,0.79,12.05
ACUTAAS.NS,Acutaas Chemical,68.05,32.56,15.9,3.99,1.1,45.78,20.17,24.05,31.56,18.48,22.49,356.37,160.41,0.02,141.2,26.61,47.17,43.51,55.83,40.9,29.5,104.3,61.97,-35.81,0.05,5.75,32.66,0,2.13,-0.05
ADANIENSOL.NS,Adani Energy Sol,64.9,64.9,7.32,7.32,3.05,23.74,2.82,9.44,9.65,10.47,9.64,2392.75,921.69,1.93,2,8.52,24.3,19,18.33,20.91,27.56,21.81,21.29,-3435.12,0,0,73.39,0,-1.92,2.81
ADANIENT.NS,Adani Enterp.,171.39,112.35,4.78,4.78,0,27.39,-1.03,-3.38,5.8,2.41,8.38,9950.69,8004.99,1.32,1.56,-2.35,58.54,72.31,0,18.06,-7.64,-36.42,0,-30993.05,0.04,1.8,71.97,0.79,-0.29,4.05
ADANIGREEN.NS,Adani Green,110.85,22.91,10.74,1.84,6.39,25,1.74,11.4,7.39,13.36,8.58,1987,2001,5.19,1.29,17.03,10.83,10.03,15.82,10.98,18.38,4.37,17.34,-15857,0,0,62.43,0,0.74,0.26
ADANIPORTS.NS,Adani Ports,29.45,22.4,4.07,3.71,1.08,16.92,8.17,16.38,14.12,17.83,13.88,12782.03,11061.26,0.66,4.17,33.4,57.81,55.58,24.55,23.85,22.93,16.78,27.25,5074.04,0.44,13.49,66.03,0,2.33,-0.26
ADANIPOWER.NS,Adani Power,27.64,27.36,6.06,2.35,4.71,17.14,10.15,21.07,17.22,31.77,24,12971.08,12749.61,0.84,6.19,23.8,7.39,6.66,5.87,6.64,11.84,14.86,5.87,-2817.04,0,0,74.96,1.81,0.03,0.38
ADVANCE.NS,Advance Agrolife,15.24,21.55,2.4,2.3,0.46,9.01,7.23,17.18,19.28,24.03,28.48,35.28,25.64,0.32,9.13,5.53,8.67,5.49,-45.03,48.33,17.28,78.66,33.37,-109.16,0,0,69.89,0,1.24,0.16
ADVENZYMES.NS,Advanced Enzyme,21.52,52.28,2.08,6.08,1.73,12.6,9.26,10.16,13.96,10.28,14.08,173.61,133.98,0.02,91.09,21.39,14.82,15.07,12.43,12.17,11.32,15.13,12.46,104.85,1.77,35.5,43.25,0,1.2,-0.64
AEGISLOG.NS,Aegis Logistics,37.49,37.49,7.75,7.75,1.55,20.41,8.45,16.27,13.33,15.71,13.76,1106.63,787.42,0.69,12.97,12.85,35.65,25.59,24.14,30.35,-1.15,88.67,24.14,1212.25,0.65,34,58.1,0,-0.02,-0.07
AEGISVOPAK.NS,Aegis Vopak Term,109.42,61.2,6.88,4.14,0.07,47.98,4.51,11.02,7.56,12.04,8.21,341.92,224.84,0.87,3.99,37.05,2.44,2.8,76.55,26.06,37.73,42.89,1471.83,3.35,0.08,71.38,86.94,0,-0.54,0.41
AEQUS.NS,Aequs,0,70.68,11.73,9.24,0,119.15,-4.74,-9.96,1.69,-9.43,2.24,-113.25,-102.35,0.47,-0.09,-8.92,-2.57,-1.69,8.6,33.08,14.85,-73.7,-4.73,-439.87,0,0,59.09,0,1.27,-2.54
AEROPLANE.NS,A C J K Exports,15.2,15.99,0,2.33,0.18,9.61,5.63,15.85,15.7,14.96,13.3,103.3,60.82,0.82,3.09,4.52,13.59,9.98,-31.41,14.51,20.37,72.25,83.17,-167.52,0,0,78.78,0,-1.61,2.81
AETHER.NS,Aether Industri.,90.45,27.92,8.83,2.82,4.44,53.8,7.74,9.66,11.92,7.91,9.86,219.46,158.42,0.19,17.92,19.5,17.73,16.54,17.83,34.44,21.23,30.35,20.35,-389.62,0,0,74.92,0,1.13,-2.17
AFCONS.NS,Afcons Infrastr.,50.29,16.03,1.89,1.86,-4.57,9.23,1.65,5.61,13.91,9.64,18.88,250.74,486.79,0.67,1.48,2.51,3.93,6.84,-48.33,-11.87,-1.85,-61.53,-11.01,-491.42,0.71,29.25,50.17,100,-0.04,-0.89
AFFLE.NS,Affle 3i,50.99,24.61,6.67,3.01,2.22,31.88,11.32,13.79,16.84,14.17,16.64,454.85,381.87,0,143.88,16.79,33.95,32.31,20.75,19.78,23.63,19.21,22.97,291.25,0,0,54.91,0,-1.29,0.87
AGARWALEYE.NS,Dr Agarwal's Hea,108.47,46.44,7.87,6.28,8.09,26.1,4.4,6.81,11.12,6.11,10.77,168.14,110.34,0.53,4.02,8.04,4.69,4.2,0,22.94,26.9,43.47,13.4,59.27,0,0,32.34,0,0.03,-0.11
AHCL.NS,Anlon Healthcare,24.17,32.56,3.32,3.99,0,16.82,10.47,18.36,20.77,0,20.77,29.08,20.52,0.19,12.37,16.91,0.54,0.54,0,42.96,0,38.94,0,-115.86,0,0,52.68,0,1.35,-3.37
AHLUCONT.NS,Ahluwalia Contr.,20.65,16.03,2.26,1.86,1.83,8.34,6.67,13.78,20.45,13.86,20.92,265.86,202.08,0.04,6.52,5.82,33.59,39.69,11.28,12,17.16,1.18,11.28,15.75,0.1,1.76,55.32,0,0.31,0
AIAENG.NS,AIA Engineering,32.05,27.73,5.07,4.16,4.78,23.13,15.53,17.02,21.09,16.87,20.9,1268.93,1060.08,0,54.92,28.77,135.69,136.11,7.09,5.63,-3.44,14.7,6.71,491.06,0.37,11.75,58.5,0,0.08,0.07
AIIL.NS,Authum Invest,21.62,20.01,3.11,1.81,0.22,19.66,11.25,13.16,13.76,27,28.03,1919.47,4248.11,0.21,10.86,76.17,24.65,22.6,99.92,-36.77,88.86,-48.91,99.93,1002.65,0.02,2.21,68.81,0,0.05,0.01
