Scheme Code,Scheme Name,Fund House,Category,Plan,NAV,NAV Date,Expense Ratio %,TER incl. Costs %,1Y Return %,3Y CAGR %,5Y CAGR %,SD (Annualised) %,Sharpe (3Y),Max Drawdown %,Positive Months %,1Y Rank in Category,3Y Rank in Category,1Y Category Size,3Y Category Size,History (Months),ISIN
119769,Kotak Contra Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity Scheme - Contra Fund,Direct,181.14,11-Sep-2026,0.55,0.79,4.26,16.36,14.81,14.4,0.68,-18.02,66.7,1,1,2,2,61,INF174K01KZ9
103040,Kotak Contra Fund - Regular Plan - Growth,Kotak Mahindra Mutual Fund,Equity Scheme - Contra Fund,Regular,151.386,11-Sep-2026,1.59,2.02,2.91,14.85,13.28,14.38,0.58,-18.47,66.7,1,1,2,2,61,INF174K01245
119835,SBI CONTRA FUND - Direct Plan - Growth,SBI Mutual Fund,Equity Scheme - Contra Fund,Direct,408.9709,11-Sep-2026,0.61,0.86,0.29,11.91,16.0,13.13,0.41,-15.01,66.7,2,2,2,2,61,INF200K01RA0
102414,SBI CONTRA FUND - Regular Plan - Growth,SBI Mutual Fund,Equity Scheme - Contra Fund,Regular,371.1403,11-Sep-2026,1.25,1.61,-0.51,10.93,15.01,13.12,0.34,-15.33,65.0,2,2,2,2,61,INF200K01362
154338,Motilal Oswal Contra Fund - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity Scheme - Contra Fund,Regular,10.8476,11-Sep-2026,2.1,4.09,,,,,,,,,,,,3,INF247L01GZ9
133386,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth,Motilal Oswal Mutual Fund,Equity Scheme - ELSS,Direct,67.8843,11-Sep-2026,0.63,0.96,19.26,23.6,18.02,18.74,0.91,-25.53,61.7,1,1,18,18,61,INF247L01569
133385,Motilal Oswal ELSS Tax Saver Fund - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity Scheme - ELSS,Regular,58.4676,11-Sep-2026,1.6,2.1,17.83,22.13,16.6,18.72,0.83,-25.67,60.0,1,1,20,20,61,INF247L01544
147541,ITI ELSS Tax Saver Fund - Direct Plan - Growth Option,ITI Mutual Fund,Equity Scheme - ELSS,Direct,28.93,11-Sep-2026,0.62,0.9,10.51,17.97,14.11,17.51,0.66,-21.73,59.3,3,2,18,18,60,INF00XX01390
120847,Quant ELSS Tax Saver Fund - Direct Plan - Growth Option,quant Mutual Fund,Equity Scheme - ELSS,Direct,460.7493,11-Sep-2026,0.67,1.21,17.21,16.2,16.37,17.19,0.56,-25.02,70.0,2,3,18,18,61,INF966L01986
150159,Baroda BNP Paribas ELSS Tax Saver Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Equity Scheme - ELSS,Direct,113.2804,11-Sep-2026,0.93,1.31,7.59,16.03,,14.57,0.65,-16.41,66.0,4,4,18,18,54,INF251K01HF3
