Name,Ticker,Category,Current Price,Day Change %,EMA 50,EMA 200,EMA Cross,Days Since EMA Cross,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,1Y CAGR %,3Y CAGR %,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,SD 1Y %,ATR % (14D),Vol Ratio (20D/60D),Vol Trend,52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,Days Since 52W High,Drawdown Status,Market Regime
Brent Crude,BZ=F,Commodity,98.3,-0.96,94.5974,87.1676,Golden Cross,148,50.98,Bearish,Bullish,6.65,33.31,-5.92,47.66,1.76,6,-4.45,-0.11,54.15,4.55,0.74,Falling,118.35,58.92,-16.94,66.84,-39.53,125,Correcting,Bear
Copper,HG=F,Commodity,6.7645,0.07,6.5099,6.0603,Golden Cross,428,60.56,Bullish,Bullish,2.51,13.82,24.75,47.92,22.65,10,-2.1,0.87,28.47,1.77,1.17,Rising,6.8035,4.5845,-0.57,47.55,-13.49,10,At High,Strong Bull
Crude Oil,CL=F,Commodity,92.75,-1.95,89.6974,82.3358,Golden Cross,145,49.51,Bearish,Bullish,9.1,31.86,0.43,48.07,0.9,7,-1.52,0.01,55.09,4.95,0.89,Stable,112.95,55.27,-17.88,67.81,-39.31,120,Correcting,Bull
Gold,GC=F,Commodity,4318.2998,-1.33,4388.7986,4343.0607,Golden Cross,21,41.77,Bearish,Bearish,-8.08,7.72,-1.9,14.39,30.58,7,-10.65,-0.07,28.81,2.4,0.92,Stable,5318.3999,3768.1001,-18.8,14.6,-24.94,168,Correcting,Strong Bear
Natural Gas,NG=F,Commodity,3.137,5.8,2.8924,3.0935,Death Cross,145,66.46,Bullish,Bullish,12.76,-2.61,6.59,11.8,6.32,7,13.63,0.07,92.45,3.79,1.01,Stable,7.46,2.523,-57.95,24.34,-66.18,169,Damaged,Bull
Silver,SI=F,Commodity,65.05,-1.34,65.0553,65.374,Death Cross,48,49.42,Bearish,Bearish,-5.09,12.05,-6.1,48.52,40.25,7,-9.11,-0.09,66.17,2.61,0.95,Stable,115.08,43.777,-43.47,48.59,-51.43,170,Damaged,Strong Bear
Dollar Index,DX-Y.NYB,Currency,101.059,0.63,99.805,99.5951,Golden Cross,71,69.53,Bullish,Bullish,2.29,-0.35,2.13,3.5,-1.33,6,2.41,0.41,5.25,0.45,1.04,Stable,101.61,96.22,-0.54,5.03,-4.0,65,At High,Strong Bull
EUR/INR,EURINR=X,Currency,109.1001,-0.61,109.9007,108.0617,Golden Cross,404,45.4,Bearish,Bearish,-2.27,1.81,0.98,4.92,7.23,8,-2.87,0.08,12.35,1.28,1.32,Rising,112.486,101.656,-3.01,7.32,-6.84,89,Correcting,Strong Bull
GBP/INR,GBPINR=X,Currency,126.9053,-0.82,128.4128,125.6411,Golden Cross,423,39.68,Bearish,Bearish,-2.37,1.26,2.11,6.16,7.66,8,-2.79,0.21,10.21,0.82,1.05,Stable,130.5909,115.5451,-2.82,9.83,-5.57,21,Recovering,Strong Bull
JPY/INR,JPYINR=X,Currency,0.6047,-0.61,0.6014,0.5922,Golden Cross,157,49.69,Bearish,Bearish,0.57,3.73,2.49,0.36,2.97,7,-0.67,0.16,15.59,1.62,1.09,Stable,0.6187,0.5627,-2.27,7.46,-7.52,9,Recovering,Strong Bull
USD/INR,INR=X,Currency,95.73,0.02,95.3991,93.6434,Golden Cross,1300,53.43,Bullish,Bearish,0.01,1.41,1.46,7.95,4.86,8,-0.46,0.2,7.42,0.63,1.12,Stable,96.8769,87.7403,-1.18,9.11,-3.44,43,At High,Strong Bull
DAX,^GDAXI,Global Index,25410.6309,-0.64,25673.1552,24844.4397,Golden Cross,739,42.68,Bearish,Bearish,-2.67,1.66,10.69,7.62,18.36,8,-3.22,0.67,15.95,1.09,1.01,Stable,26569.9902,22300.75,-4.36,13.95,-12.27,18,Recovering,Strong Bull
Dow Jones,^DJI,Global Index,51549.0312,-0.96,52515.5551,50268.659,Golden Cross,340,38.8,Bearish,Bearish,-3.24,-0.23,11.56,11.3,14.19,10,-3.16,0.91,12.74,0.98,0.95,Stable,54349.1211,45166.6406,-5.15,14.13,-10.01,35,Recovering,Strong Bull
FTSE 100,^FTSE,Global Index,10705.2598,-0.31,10715.2924,10349.5853,Golden Cross,714,47.56,Bearish,Bearish,-1.03,2.33,8.2,16.07,11.97,9,-1.81,0.71,11.55,0.94,1.11,Stable,10910.5996,9214.0,-1.88,16.18,-9.32,147,At High,Strong Bull
Hang Seng,^HSI,Global Index,25042.7109,1.18,25159.9713,25209.8258,Death Cross,4,47.88,Bearish,Bearish,-3.72,7.31,-3.78,-4.42,12.07,3,-6.16,-0.2,18.69,1.28,0.73,Falling,27968.0898,22671.8594,-10.46,10.46,-18.94,167,Correcting,Strong Bear
