Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1796841.72,Large,1327.8,-1.16,1382.52,1416.45,42.69,Bullish,Bearish,-6.12,-6.07,-6.28,4.6,13.62,0.9405,0.22,20.34,2.2,1611.8,1288.1,-17.62,3.08,-18.07,4.6,8.97,Strong Bear,Correcting,80,6.0,-4.1,-0.31,1.22,Rising,Death Cross,30,-9.51,0.53,0.31,110.9,103.8,1.07
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1208280.1,Large,784.85,0.06,832.67,906.36,44.45,Bullish,Bearish,0.56,-15.42,-21.71,-16.56,17.37,1.1425,0.487,18.74,2.77,1020.5,726.65,-23.09,8.01,-27.78,-16.56,1.06,Strong Bear,Damaged,191,6.0,5.7,-1.16,1.24,Rising,Death Cross,50,-2.83,-8.82,-15.12,96.6,119.5,0.81
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1105297.57,Large,1814.5,-1.45,1878.58,1915.85,42.45,Bullish,Bearish,-1.71,-9.73,-9.82,-3.15,5.72,0.6704,0.017,18.45,2.19,2174.5,1746.9,-16.56,3.87,-17.61,-3.15,35.17,Strong Bear,Correcting,110,5.0,1.53,-0.53,0.95,Stable,Death Cross,22,-5.1,-3.13,-3.22,81.4,84.6,0.96
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,1016383.25,Large,1101.1,0.63,1077.5,983.62,56.02,Bullish,Bullish,4.07,6.04,23.84,40.85,29.07,0.9494,0.459,20.82,2.6,1234.7,755.5,-10.82,45.74,-20.23,40.85,31.84,Strong Bull,Correcting,42,10.0,2.06,1.15,1.0,Stable,Golden Cross,247,0.68,12.63,30.43,117.8,71.5,1.65
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,950237.19,Large,1326.2,-1.62,1323.9,1350.7,51.74,Bullish,Bullish,6.49,-3.94,-7.68,-5.0,20.87,0.9207,0.288,18.26,2.42,1500.0,1187.6,-11.59,11.67,-18.37,-5.0,16.72,Strong Bear,Correcting,196,6.0,7.8,-0.42,1.2,Rising,Death Cross,30,3.1,2.66,-1.09,82.6,88.3,0.94
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,867219.33,Large,2396.9,-4.95,2602.95,2940.81,37.83,Bullish,Bearish,0.26,-24.24,-17.61,-24.83,24.92,0.8352,0.272,22.29,2.84,3630.5,2346.2,-33.98,2.16,-32.68,-24.83,-5.78,Strong Bear,Damaged,247,7.0,8.34,-0.79,1.04,Stable,Death Cross,302,-3.13,-17.64,-11.02,73.8,109.1,0.68
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,572867.32,Large,921.55,0.35,915.93,935.75,54.14,Bullish,Bullish,10.96,-4.94,-13.88,1.2,23.83,1.4211,0.314,29.24,3.13,1102.5,787.9,-16.41,16.96,-26.74,1.2,19.14,Strong Bear,Correcting,130,6.0,12.61,-0.47,1.17,Rising,Death Cross,22,7.57,1.65,-7.29,138.6,133.4,1.04
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,552220.02,Large,4014.3,-0.98,3902.37,3835.35,55.99,Bullish,Bullish,16.87,3.73,4.56,24.77,-8.36,1.3377,0.425,24.41,2.9,4440.0,3230.1,-9.59,24.28,-24.35,24.77,24.63,Strong Bull,Recovering,42,8.0,15.63,0.19,1.03,Stable,Golden Cross,235,13.48,10.33,11.15,139.6,108.5,1.29
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,546820.38,Large,2327.3,-1.65,2228.12,2333.55,63.76,Bullish,Bullish,11.74,-3.59,-9.91,-0.2,36.61,0.6088,0.359,20.18,2.71,2750.0,2022.5,-15.37,15.07,-23.18,-0.2,-0.32,Strong Bear,Correcting,172,6.0,12.94,-0.49,1.15,Stable,Death Cross,95,8.35,3.01,-3.32,61.0,59.5,1.03
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,512988.91,Large,811.05,-0.07,811.26,847.83,52.22,Bullish,Bullish,4.42,0.16,-8.41,2.32,101.93,1.096,0.545,24.76,2.47,980.0,721.5,-17.24,12.41,-24.42,2.32,15.79,Strong Bear,Correcting,212,5.0,4.37,-0.34,1.14,Stable,Death Cross,90,1.03,6.76,-1.81,92.5,86.8,1.07
