Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,1Y CAGR %,3Y CAGR %,52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,Days Since 52W High,Drawdown Status,SD 1Y %,ATR % (14D),Vol Ratio (20D/60D),Vol Trend,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,EMA Cross,Days Since EMA Cross,Beta vs Nifty,Correlation vs Nifty (1Y),Up Capture Ratio,Down Capture Ratio,Capture Ratio,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Market Regime,PE Ratio,PB Ratio,Dividend Yield %,Index,Category,Momentum Rank 1M,Momentum Rank 3M,Momentum Rank 6M
25240.8,-0.06,24928.78,25199.5,55.58,Bearish,Bullish,4.71,3.08,-6.26,-3.17,-3.17,10.32,26925.3,22875.5,-6.26,10.34,-15.04,137,Correcting,13.42,1.06,0.96,Stable,6.0,3.68,-0.47,Death Cross,85,1.02,0.99,102.6,100.1,1.02,0.18,1.25,1.79,Bull,20.45,3.19,1.23,Nifty 100,Broad Market,27,38,42
14003.1,-0.04,13782.82,13821.41,56.87,Bullish,Bullish,5.02,4.51,-4.59,-1.51,-1.51,12.09,14677.15,12492.1,-4.59,12.1,-14.89,137,Correcting,13.79,1.05,0.92,Stable,7.0,3.52,-0.33,Death Cross,84,1.04,0.98,105.1,100.2,1.05,0.49,2.67,3.45,Bull,21.88,3.43,1.1,Nifty 200,Broad Market,25,32,38
24211.0,0.02,23945.89,24408.26,55.89,Bullish,Bullish,4.53,1.83,-8.04,-4.88,-4.88,8.75,26328.55,22331.4,-8.04,8.42,-15.18,137,Correcting,13.05,1.09,0.97,Stable,6.0,3.92,-0.62,Death Cross,85,1.0,1.0,100.0,100.0,1.0,0.0,0.0,0.0,Strong Bear,20.87,3.13,1.23,Nifty 50,Broad Market,30,45,46
23347.05,-0.01,22880.29,22832.06,58.34,Bullish,Bullish,5.57,5.94,-3.12,-0.85,-0.85,13.0,24099.0,20528.05,-3.12,13.73,-14.82,137,Correcting,13.97,1.04,0.91,Stable,7.0,3.59,-0.22,Golden Cross,4,1.04,0.97,104.6,99.0,1.06,1.04,4.11,4.92,Bull,23.05,3.5,1.03,Nifty 500,Broad Market,20,28,30
25536.05,0.13,24118.77,22939.83,63.7,Bearish,Bullish,9.82,21.56,12.0,5.63,5.63,25.61,25536.05,18892.95,0.0,35.16,-23.67,0,At High,19.7,1.42,0.83,Falling,6.0,2.63,0.61,Golden Cross,37,1.19,0.79,114.6,99.4,1.15,5.28,19.73,20.04,Strong Bull,28.87,3.63,0.58,Nifty Microcap 250,Broad Market,6,2,5
23167.4,0.0,22489.75,21848.7,60.7,Bullish,Bullish,6.6,10.5,2.61,5.59,5.59,20.65,23167.4,19430.9,0.0,19.23,-14.05,0,At High,16.15,1.15,0.82,Falling,8.0,3.1,0.16,Golden Cross,50,1.1,0.89,112.2,98.1,1.14,2.07,8.67,10.65,Strong Bull,29.56,4.84,0.62,Nifty Midcap 150,Broad Market,16,15,15
72111.4,-0.39,70801.34,68960.3,53.99,Bearish,Bullish,5.46,8.82,2.41,4.92,4.92,18.05,73073.2,60349.8,-1.32,19.49,-14.63,15,At High,16.84,1.28,0.9,Stable,8.0,2.52,0.14,Golden Cross,52,1.13,0.88,115.2,100.7,1.14,0.93,6.98,10.45,Strong Bull,18.78,3.45,1.23,Nifty Next 50,Broad Market,22,17,16
18171.85,0.29,17260.65,16639.42,64.89,Bullish,Bullish,9.19,17.21,8.19,2.71,2.71,20.25,18171.85,14232.85,0.0,27.68,-21.07,0,At High,17.15,1.26,0.83,Falling,7.0,3.45,0.48,Golden Cross,37,1.09,0.83,104.5,94.4,1.11,4.66,15.38,16.24,Strong Bull,36.42,3.79,0.61,Nifty Smallcap 250,Broad Market,9,5,9
26981.5,0.45,26522.07,26238.67,54.83,Bearish,Bullish,4.62,4.17,-6.33,12.89,12.89,22.25,28922.35,23410.95,-6.71,15.25,-17.82,134,Correcting,20.88,1.69,1.01,Stable,10.0,3.23,-0.3,Golden Cross,290,1.32,0.82,132.9,108.5,1.22,0.09,2.33,1.72,Bull,31.12,4.36,1.14,Nifty Auto,Sectoral,29,35,44
58131.45,0.15,56555.8,56397.48,58.96,Bearish,Bullish,5.35,6.04,-3.36,1.99,1.99,9.78,61550.8,50275.35,-5.56,15.63,-18.32,103,Correcting,16.47,1.34,0.89,Stable,8.0,3.34,-0.2,Golden Cross,4,1.16,0.92,113.5,103.0,1.1,0.82,4.2,4.69,Bull,14.6,1.87,0.78,Nifty Bank,Sectoral,23,27,32
15142.1,-0.99,14978.25,15536.19,53.62,Bullish,Bullish,7.18,2.46,,,,,16580.1,13534.81,-8.67,11.88,-18.37,103,Correcting,25.85,1.59,1.07,Stable,,6.36,,Death Cross,102,1.29,0.89,120.2,122.0,0.99,2.64,0.63,,Bear,28.71,2.29,0.45,Nifty Cement,Sectoral,11,42,
29700.75,-0.4,29195.1,28657.58,52.7,Bearish,Bullish,3.43,11.13,2.22,-6.01,-6.01,,31684.74,24936.0,-6.26,19.11,-21.3,267,Correcting,17.31,1.46,1.03,Stable,6.0,-0.28,0.13,Golden Cross,32,1.04,0.79,89.7,91.5,0.98,-1.1,9.3,10.27,Bull,47.59,4.29,0.48,Nifty Chemicals,Sectoral,40,13,17
38649.65,1.15,36460.36,36693.88,67.99,Bullish,Bullish,13.11,7.83,3.79,-0.67,-0.67,12.35,39830.05,32945.8,-2.96,17.31,-17.28,222,Correcting,20.68,1.75,0.87,Stable,6.0,10.5,0.18,Death Cross,157,1.21,0.76,113.8,106.9,1.06,8.58,6.0,11.83,Strong Bull,69.53,11.96,0.37,Nifty Consumer Durables,Sectoral,3,20,13
26836.15,0.02,26201.38,26289.63,58.76,Bearish,Bullish,6.7,4.48,-3.81,-0.1,-0.1,11.31,28463.25,23521.8,-5.72,14.09,-17.36,103,Correcting,16.79,1.29,0.85,Stable,7.0,5.21,-0.23,Death Cross,77,1.2,0.93,117.8,109.5,1.08,2.17,2.64,4.23,Bull,17.15,2.72,0.96,Nifty Financial Services,Sectoral,15,33,33
48809.9,-1.02,49530.89,51430.83,42.94,Bearish,Bullish,0.59,2.45,-8.04,-10.34,-10.34,-2.36,57104.05,45538.65,-14.52,7.18,-20.25,222,Correcting,14.01,1.28,0.97,Stable,4.0,-0.23,-0.57,Death Cross,207,0.66,0.62,58.8,68.7,0.86,-3.94,0.62,0.0,Strong Bear,33.58,8.25,0.98,Nifty Fmcg,Sectoral,52,43,46
16295.9,-0.26,15671.01,14943.64,63.51,Bullish,Bullish,5.13,14.94,10.66,12.05,12.05,23.5,16481.35,13790.65,-1.13,18.17,-8.35,5,At High,14.0,1.38,0.86,Stable,7.0,0.15,0.76,Golden Cross,57,0.62,0.58,76.4,57.5,1.33,0.6,13.1,18.71,Bull,42.22,5.91,0.51,Nifty Healthcare Index,Sectoral,24,9,7
29015.85,3.59,28475.68,32109.0,58.67,Bullish,Bullish,4.29,-8.28,-24.28,-25.37,-25.37,0.5,39488.0,25769.8,-26.52,12.6,-34.74,145,Damaged,24.55,2.7,1.07,Stable,6.0,7.05,-0.99,Death Cross,107,0.8,0.43,87.4,116.4,0.75,-0.24,-10.12,-16.24,Strong Bear,18.89,5.16,2.87,Nifty It,Sectoral,32,54,52
1515.3,2.09,1464.93,1474.06,56.9,Bearish,Bullish,3.4,13.17,3.58,-12.16,-12.16,-5.69,1773.9,1253.35,-14.58,20.9,-29.34,255,Correcting,21.27,2.18,0.88,Stable,4.0,-0.99,0.17,Death Cross,445,0.93,0.57,73.3,85.1,0.86,-1.13,11.34,11.62,Bear,35.98,1.6,1.16,Nifty Media,Sectoral,41,11,14
12601.45,-0.69,12749.42,11746.8,45.54,Bullish,Bearish,-1.04,3.04,10.33,29.92,29.92,26.46,13718.3,9102.35,-8.14,38.44,-12.94,33,Recovering,21.9,1.82,1.0,Stable,8.0,-2.05,0.47,Golden Cross,295,1.1,0.65,129.3,85.3,1.52,-5.57,1.21,18.37,Strong Bull,16.8,2.63,1.82,Nifty Metal,Sectoral,54,39,8
11176.55,-0.01,11217.71,11411.83,50.74,Bullish,Bullish,3.69,0.76,-9.43,-5.59,-5.59,13.66,12352.3,10694.35,-9.52,4.51,-13.42,108,Correcting,15.87,1.38,0.96,Stable,7.0,3.44,-0.59,Death Cross,75,0.86,0.71,92.6,94.0,0.99,-0.84,-1.07,-1.39,Strong Bear,8.88,1.52,2.44,Nifty Oil & Gas,Sectoral,39,47,49
25643.35,-0.12,24559.39,23231.53,65.73,Bullish,Bullish,5.5,15.85,12.52,15.98,15.98,24.64,25866.25,21402.15,-0.86,19.82,-7.46,5,At High,14.24,1.42,0.8,Falling,7.0,0.22,0.88,Golden Cross,314,0.58,0.54,75.5,52.0,1.45,0.97,14.01,20.56,Bull,39.18,5.37,0.6,Nifty Pharma,Sectoral,21,7,4
28154.1,0.25,27372.31,27247.17,58.64,Bearish,Bullish,4.72,7.21,-2.59,0.17,0.17,7.77,29187.95,24144.85,-3.54,16.6,-17.28,103,Correcting,16.14,1.33,0.9,Stable,8.0,2.32,-0.16,Golden Cross,5,1.12,0.91,110.0,102.0,1.08,0.18,5.38,5.45,Bull,18.36,2.2,0.65,Nifty Private Bank,Sectoral,26,22,28
8460.6,0.11,8442.29,8273.67,51.49,Bearish,Bearish,1.89,-1.69,-2.75,17.61,17.61,27.92,9879.85,6756.05,-14.37,25.23,-20.31,97,Correcting,23.34,1.99,0.92,Stable,8.0,2.45,-0.12,Golden Cross,294,1.29,0.72,135.5,103.3,1.31,-2.64,-3.52,5.29,Bull,8.01,1.19,1.02,Nifty Psu Bank,Sectoral,46,49,29
937.15,-0.15,821.38,829.13,73.86,Bullish,Bullish,26.07,26.0,4.27,-3.39,-3.39,21.92,1006.25,651.15,-6.87,43.92,-35.29,255,Correcting,26.02,2.36,1.05,Stable,4.0,17.4,0.16,Death Cross,235,1.57,0.79,163.4,154.3,1.06,21.54,24.17,12.31,Bull,41.23,4.44,0.33,Nifty Realty,Sectoral,1,1,12
1971.1,-0.18,1833.08,1776.22,75.57,Bullish,Bullish,12.86,11.53,,,,,1974.6,1632.57,-0.18,20.74,-7.53,2,At High,17.08,1.22,1.01,Stable,,9.02,,Golden Cross,57,0.79,0.84,97.8,63.1,1.55,8.33,9.7,,Bull,53.82,2.71,3.16,Nifty Reits & Realty,Sectoral,4,12,
54090.85,-0.32,52594.71,51096.6,57.19,Bearish,Bullish,6.58,10.94,6.77,0.88,0.88,20.45,54795.25,44487.95,-1.29,21.59,-17.04,15,At High,19.02,1.37,0.8,Falling,7.0,2.93,0.36,Golden Cross,42,1.23,0.84,120.4,110.8,1.09,2.05,9.11,14.81,Strong Bull,24.81,5.1,0.77,Nifty Alpha 50,Strategy,17,14,11
20122.3,-0.14,19989.66,20245.71,53.83,Bullish,Bullish,2.87,2.81,-6.63,-2.42,-2.42,15.75,21595.85,18543.9,-6.82,8.51,-14.13,134,Correcting,11.78,0.9,0.79,Falling,7.0,1.93,-0.56,Death Cross,87,0.83,0.92,86.5,84.8,1.02,-1.66,0.98,1.42,Strong Bear,16.78,3.12,1.64,Nifty Alpha Quality Value Low-Volatility 30,Strategy,44,40,45
