Symbol,Latest Quarter,Sales QoQ %,Sales YoY %,Profit QoQ %,Profit YoY %,OPM Latest %,OPM Prev Year %,Profit Growth Streak (Qtrs)
360ONE.NS,Jun-26,9.96,34.58,14.53,16.14,63,62,9
3MINDIA.NS,Jun-24,-4.38,-0.29,-9.25,21.71,20,16,9
AADHARHFC.NS,Jun-26,0.81,17.1,-9.32,18.99,0,0,9
AARTIDRUGS.NS,Jun-26,-2.36,18.95,-9.09,-7.41,14,13,0
AARTIIND.NS,Jun-26,8.25,42.51,13.14,260.47,16,13,4
AARTIPHARM.NS,Jun-26,-8.06,38.86,24.59,52,25,24,1
AASTHA.NS,Jun-26,-45.24,-18.47,-71.36,-61.66,11.76,16.64,0
AAVAS.NS,Mar-24,7.48,21.33,21.37,11.81,0,0,9
ABB.NS,Jun-26,11.78,21.05,-79.71,2.84,13,14,2
ABBOTINDIA.NS,Jun-26,6.08,4.37,8.61,17.21,29,26,9
ABCAPITAL.NS,Jun-26,-9.5,28.17,16.91,43.33,0,0,3
ABDL.NS,Jun-26,-2.78,6.07,18.42,-19.64,12,12,0
ABFRL.NS,Jun-26,1.81,10.65,-51.83,-6.41,5,6,0
ABLBL.NS,Jun-26,-5.89,11.14,-47.27,20.83,15,14,5
ABREL.NS,Jun-26,127.71,29.45,-800,-29.63,-30,-29,0
ABSLAMC.NS,Jun-26,1.09,3.58,65.24,11.55,56,59,1
ACC.NS,Jun-26,-18.72,-4.58,-38.24,-60.8,8,13,0
ACE.NS,Jun-26,-23.62,20.55,7.21,21.43,15,14,1
ACI.NS,Jun-26,8.64,11.99,150,-25,21,27,0
ACMESOLAR.NS,Jun-26,56.57,67.91,70.29,79.39,86,90,5
ACUTAAS.NS,Jun-26,-23.79,59.42,-44.03,70.45,34,25,8
ADANIENSOL.NS,Jun-26,30.47,42.41,71.09,129.5,31,27,2
ADANIENT.NS,Jun-26,1.5,49.92,-775.45,-249.8,15,15,0
ADANIGREEN.NS,Jun-26,26.53,16.61,91.25,19.3,90,80,2
ADANIPORTS.NS,Jun-26,0.77,18.57,10.34,10.24,58,60,9
ADANIPOWER.NS,Jun-26,32.9,33.97,13.95,47.26,42,40,2
ADVANCE.NS,Jun-26,166.13,95.27,228.57,155.56,11,10,2
ADVENZYMES.NS,Jun-26,-6.4,2.15,-13.33,-2.5,27,30,0
AEGISLOG.NS,Jun-26,-9.14,37.11,19.78,211.43,30,14,9
AEGISVOPAK.NS,Jun-26,-3.7,12.5,-6.76,-12.66,77,75,0
AEQUS.NS,Jun-26,7.9,54.69,1.85,-1425,3.7,11,0
AEROPLANE.NS,Jun-26,-4.46,55.14,85,131.25,9,10,3
AETHER.NS,Jun-26,7.21,27.24,16.67,34.04,31,32,7
AFCONS.NS,Jun-26,2.18,-20.74,133.71,-78.1,9,13,0
AFFLE.NS,Jun-26,3.18,20.29,6.67,20.75,22,23,9
AGARWALEYE.NS,Jun-26,8.87,26.08,10,44.74,28,26,7
AHCL.NS,Jun-26,72.06,78.95,-25.2,-50.27,17.8,35.13,0
AHLUCONT.NS,Jun-26,-14.83,12.04,-87.8,-80.39,4.2,9,0
AIAENG.NS,Jun-26,-7.74,12.42,-23.41,-1.31,26,29,0
AIIL.NS,Jun-26,372.67,20.99,1810.34,17.5,0,0,1
