Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1799818.84,Large,1330.0,-1.32,1400.03,1423.78,40.99,Bearish,Bearish,-5.32,-15.72,-2.45,6.6,61.66,0.9587,0.22,20.91,2.65,1611.8,1163.3,-17.48,14.33,-18.07,6.6,8.58,Strong Bear,Correcting,69,6.0,-0.08,-0.12,1.17,Rising,Death Cross,20,-2.56,-6.02,1.82,110.0,104.1,1.06
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,1227920.45,Large,797.7,-2.25,849.71,917.71,46.69,Bullish,Bearish,-6.92,-18.39,-17.35,-8.53,114.64,1.0993,0.487,19.04,3.26,1020.5,726.65,-21.83,9.78,-27.78,-8.53,1.95,Strong Bear,Damaged,180,6.0,-0.79,-0.91,1.57,Rising,Death Cross,40,-4.16,-8.7,-13.08,97.0,110.6,0.88
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,1132648.31,Large,1859.4,-0.12,1894.9,1923.13,51.48,Bullish,Bearish,-0.61,-11.67,-1.97,8.75,23.42,0.7578,0.017,19.45,2.43,2174.5,1706.8,-14.49,8.94,-17.61,8.75,34.88,Strong Bear,Correcting,99,5.0,3.28,-0.1,1.22,Rising,Death Cross,12,2.15,-1.97,2.31,93.0,84.1,1.11
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,960861.04,Large,1040.95,-1.93,1072.13,972.73,44.92,Bullish,Bearish,-8.93,3.52,20.02,37.6,6.62,0.9754,0.459,21.54,3.31,1234.7,741.0,-15.69,40.48,-20.23,37.6,27.95,Strong Bull,Correcting,32,10.0,-10.1,0.93,1.11,Stable,Golden Cross,237,-6.17,13.22,24.29,115.6,76.9,1.5
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,936722.83,Large,2589.0,1.16,2636.91,2983.45,58.02,Bullish,Bullish,1.23,-18.04,-8.82,-24.57,-9.29,0.7432,0.272,21.68,2.57,3630.5,2346.2,-28.69,10.35,-32.68,-24.57,-4.33,Strong Bear,Damaged,237,7.0,7.24,-0.41,0.86,Stable,Death Cross,291,3.99,-8.34,-4.55,69.6,106.0,0.66
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,917559.47,Large,1281.3,-2.13,1310.85,1350.76,50.01,Bullish,Bullish,-2.44,-6.58,-6.15,-2.07,37.57,0.9312,0.288,18.53,2.68,1500.0,1187.6,-14.58,7.89,-18.37,-2.07,16.5,Strong Bear,Correcting,185,6.0,-0.25,-0.33,1.3,Rising,Death Cross,19,0.32,3.12,-1.87,82.7,87.0,0.95
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,561491.42,Large,903.25,-1.29,914.49,937.58,52.94,Bullish,Bullish,-4.94,-7.71,-8.74,4.48,65.64,1.3214,0.314,29.28,3.85,1102.5,787.9,-18.07,14.64,-26.74,4.48,16.97,Strong Bear,Correcting,120,6.0,-2.37,-0.3,1.39,Rising,Death Cross,12,-2.18,1.98,-4.47,131.1,125.9,1.04
INFY.NS,Infosys Limited,Technology,Information Technology Services,538850.41,Large,1331.6,-1.08,1362.24,1484.48,54.21,Bullish,Bullish,1.77,-17.11,-6.54,-10.19,-25.6,0.8838,0.198,25.7,2.93,1728.0,1215.1,-22.94,9.59,-27.75,-10.19,0.74,Strong Bear,Damaged,59,7.0,7.47,-0.25,0.92,Stable,Death Cross,36,4.54,-7.41,-2.27,98.0,112.1,0.87
LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,535973.8,Large,3896.2,-2.74,3832.97,3813.55,55.6,Bullish,Bullish,-1.36,-6.12,4.37,14.42,81.88,1.4005,0.425,26.12,3.68,4440.0,3048.0,-12.25,27.83,-24.35,14.42,23.19,Strong Bull,Correcting,32,8.0,0.68,0.17,1.39,Rising,Golden Cross,224,1.41,3.57,8.64,138.3,123.0,1.12
LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,501825.35,Large,793.4,-0.04,805.85,850.51,52.02,Bullish,Bearish,-3.51,-6.24,-12.36,0.77,-8.22,1.0791,0.545,24.95,3.06,980.0,721.5,-19.04,9.97,-24.42,0.77,12.12,Strong Bear,Correcting,202,5.0,-1.43,-0.5,1.31,Rising,Death Cross,80,-0.75,3.46,-8.08,93.9,93.3,1.01
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,501287.59,Large,2133.2,-0.58,2216.36,2342.87,46.4,Bullish,Bearish,-4.16,-10.52,-15.52,-2.74,18.96,0.5032,0.359,19.19,2.58,2750.0,2022.5,-22.43,5.47,-23.18,-2.74,-2.64,Strong Bear,Damaged,161,6.0,-0.65,-0.81,1.03,Stable,Death Cross,84,-1.39,-0.83,-11.25,48.7,52.2,0.93
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,427241.64,Large,13589.0,-0.1,13911.31,14403.13,54.64,Bullish,Bullish,-4.03,-20.79,-14.03,19.64,89.76,0.9706,0.273,22.88,3.11,17370.0,11289.0,-21.77,20.37,-28.83,19.64,18.03,Strong Bear,Damaged,66,9.0,2.9,-0.61,1.28,Rising,Death Cross,14,-1.26,-11.09,-9.75,91.2,69.0,1.32
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,411989.78,Large,1717.1,0.15,1739.32,1707.05,43.68,Bearish,Bearish,-4.57,-0.04,5.95,2.1,39.47,0.5207,0.111,19.44,2.56,1851.2,1548.0,-7.24,10.92,-14.83,2.1,22.65,Strong Bull,Recovering,20,5.0,-4.56,0.31,0.93,Stable,Golden Cross,104,-1.81,9.66,10.22,66.4,64.4,1.03
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,410028.97,Large,1318.5,-1.09,1273.62,1232.51,58.49,Bullish,Bullish,0.21,2.54,11.64,21.56,57.65,1.2743,0.435,24.72,3.06,1418.3,1042.5,-7.04,26.47,-17.23,21.56,16.65,Strong Bull,Recovering,30,8.0,-0.64,0.47,1.34,Rising,Golden Cross,131,2.97,12.24,15.92,129.5,106.5,1.22
HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,396351.03,Large,1464.9,0.27,1441.11,1521.23,62.4,Bullish,Bullish,7.98,-8.22,6.73,-0.92,-3.65,0.92,0.175,24.83,2.95,1780.1,1297.7,-17.71,12.88,-24.16,-0.92,14.87,Bear,Correcting,50,6.0,10.72,0.27,0.98,Stable,Death Cross,30,10.74,1.48,11.0,107.9,110.1,0.98
TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,393830.33,Large,4439.8,-1.17,4135.38,3874.14,63.58,Bullish,Bullish,4.6,8.83,28.57,49.09,42.55,0.8623,0.233,21.85,2.89,4497.4,3090.7,-1.28,43.65,-11.27,49.09,23.92,Strong Bull,At High,0,8.0,1.66,1.31,1.47,Rising,Golden Cross,231,7.36,18.53,32.84,89.0,38.7,2.3
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,380165.74,Large,3166.8,-1.35,3266.69,3345.58,50.52,Bullish,Bearish,-4.97,-16.45,-8.53,21.01,73.62,1.4081,0.402,27.44,3.48,3839.9,2454.0,-17.53,29.05,-22.91,21.01,40.93,Strong Bear,Correcting,69,7.0,0.51,-0.31,1.44,Rising,Death Cross,12,-2.21,-6.75,-4.25,149.6,127.1,1.18
ITC.NS,ITC Limited,Consumer Defensive,Tobacco,379642.89,Large,303.0,0.18,313.22,359.34,50.03,Bullish,Bearish,-2.16,-11.54,-23.48,-22.53,18.37,0.5399,-0.125,18.89,2.06,444.2,287.0,-31.79,5.57,-32.46,-22.53,-2.55,Strong Bear,Damaged,227,2.0,1.69,-1.24,1.03,Stable,Death Cross,301,0.6,-1.84,-19.21,36.4,68.5,0.53
